,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B,ma
261,1642055400000,1642055699999,ETHUSDT,5m,729390950,729392015,3341.18000000,3341.09,3341.84000000,3338.22000000,412.79480000,1066,True,1378672.71623300,202.86440000,677502.30064600,0,3336.9545999999996
262,1642055700000,1642055999999,ETHUSDT,5m,729392016,729393399,3341.08000000,3342.77,3345.00000000,3341.08000000,917.06890000,1384,True,3066377.83051600,393.12910000,1314442.22300500,0,3337.042
263,1642056000000,1642056299999,ETHUSDT,5m,729393400,729394923,3342.78000000,3338.09,3343.84000000,3336.09000000,966.30620000,1524,True,3225864.82979600,203.32140000,678989.87409500,0,3336.9056
264,1642056300000,1642056599999,ETHUSDT,5m,729394924,729396020,3338.08000000,3335.82,3339.85000000,3335.63000000,356.63850000,1097,True,1190315.25843100,237.75140000,793556.03911500,0,3336.7478
265,1642056600000,1642056899999,ETHUSDT,5m,729396021,729397146,3335.82000000,3335.58,3337.40000000,3334.63000000,367.53880000,1126,True,1225931.55732700,146.99780000,490308.23644100,0,3336.6191999999996
266,1642056900000,1642057199999,ETHUSDT,5m,729397147,729398361,3335.59000000,3340.52,3343.47000000,3335.14000000,656.36700000,1215,True,2190935.87875800,456.75250000,1524257.30941800,0,3336.7424
267,1642057200000,1642057499999,ETHUSDT,5m,729398362,729399839,3340.52000000,3339.01,3342.54000000,3337.38000000,415.99120000,1478,True,1389154.25482900,244.17270000,815420.48447500,0,3336.8202
268,1642057500000,1642057799999,ETHUSDT,5m,729399840,729400914,3339.00000000,3343.17,3343.58000000,3337.17000000,276.39220000,1075,True,923133.30566800,134.57780000,449527.13192000,0,3336.9822000000004
269,1642057800000,1642058099999,ETHUSDT,5m,729400915,729402027,3343.17000000,3341.69,3343.85000000,3340.59000000,288.77410000,1113,True,965215.19176900,125.99150000,421144.05685000,0,3337.0968000000007
270,1642058100000,1642058399999,ETHUSDT,5m,729402028,729403378,3341.69000000,3344.57,3345.81000000,3340.29000000,508.93830000,1351,True,1701510.95255400,305.78020000,1022296.73809200,0,3337.4997999999996
271,1642058400000,1642058699999,ETHUSDT,5m,729403379,729404747,3344.56000000,3348.4,3349.00000000,3342.61000000,1091.08850000,1369,True,3652040.86702800,570.79710000,1910128.99782700,0,3338.1308000000004
272,1642058700000,1642058999999,ETHUSDT,5m,729404748,729405795,3348.39000000,3344.97,3348.80000000,3343.95000000,381.09020000,1048,True,1275320.46311600,158.22020000,529435.59352800,0,3338.6384000000003
273,1642059000000,1642059299999,ETHUSDT,5m,729405796,729406979,3344.97000000,3340.83,3347.57000000,3340.36000000,432.84550000,1184,True,1447934.59373200,198.21430000,663105.05714300,0,3339.0135999999998
274,1642059300000,1642059599999,ETHUSDT,5m,729406980,729408361,3340.83000000,3336.61,3340.84000000,3335.49000000,775.75440000,1382,True,2589517.29688800,257.87030000,860691.82658400,0,3339.3635999999997
275,1642059600000,1642059899999,ETHUSDT,5m,729408362,729410607,3336.57000000,3333.92,3336.65000000,3330.00000000,2024.94050000,2246,True,6747998.88910900,542.59450000,1808795.63606200,0,3339.495
276,1642059900000,1642060199999,ETHUSDT,5m,729410608,729412012,3333.93000000,3338.0,3338.86000000,3332.85000000,459.35170000,1405,True,1532147.29322700,241.83360000,806655.22136100,0,3339.6254
277,1642060200000,1642060499999,ETHUSDT,5m,729412013,729413098,3337.99000000,3340.0,3340.00000000,3337.71000000,395.00980000,1086,True,1318870.09431500,173.40860000,578996.73581900,0,3339.7254
278,1642060500000,1642060799999,ETHUSDT,5m,729413099,729414074,3340.00000000,3339.99,3340.00000000,3338.02000000,288.21510000,976,True,962484.57936800,176.23990000,588595.14459000,0,3339.7762
279,1642060800000,1642061099999,ETHUSDT,5m,729414075,729416802,3339.99000000,3338.52,3341.85000000,3335.05000000,1898.89860000,2728,True,6339727.30570500,590.87330000,1972999.34771600,0,3339.8126
280,1642061100000,1642061399999,ETHUSDT,5m,729416803,729418897,3338.75000000,3344.99,3345.00000000,3338.58000000,616.68600000,2095,True,2060567.43541600,300.00050000,1002371.33976900,0,3339.9516
281,1642061400000,1642061699999,ETHUSDT,5m,729418898,729421269,3344.98000000,3349.39,3349.44000000,3344.47000000,876.53770000,2372,True,2933445.53793300,513.13270000,1717276.47950400,0,3340.0750000000007
282,1642061700000,1642061999999,ETHUSDT,5m,729421270,729423537,3349.39000000,3349.11,3350.67000000,3347.19000000,1079.29350000,2268,True,3614307.56884900,635.15600000,2126978.84262300,0,3340.1706
283,1642062000000,1642062299999,ETHUSDT,5m,729423538,729425258,3349.11000000,3345.36,3351.95000000,3345.35000000,676.28110000,1721,True,2264914.15877800,241.54300000,808863.92952600,0,3340.2371999999996
284,1642062300000,1642062599999,ETHUSDT,5m,729425259,729426857,3345.55000000,3347.3,3347.71000000,3343.88000000,635.90120000,1599,True,2127514.52528300,312.68480000,1046100.51045900,0,3340.2452000000003
285,1642062600000,1642062899999,ETHUSDT,5m,729426858,729429040,3347.25000000,3354.01,3355.45000000,3346.34000000,1606.22920000,2183,True,5381088.48312800,626.18790000,2097660.91291900,0,3340.4042000000004
286,1642062900000,1642063199999,ETHUSDT,5m,729429041,729431365,3354.01000000,3352.1,3357.56000000,3350.82000000,805.54960000,2325,True,2702340.26350900,442.15360000,1483409.22851700,0,3340.4594
287,1642063200000,1642063499999,ETHUSDT,5m,729431366,729433096,3352.11000000,3353.99,3354.94000000,3349.90000000,885.08120000,1731,True,2966956.76182600,475.93940000,1595523.43612600,0,3340.64
288,1642063500000,1642063799999,ETHUSDT,5m,729433097,729434518,3353.99000000,3351.76,3354.00000000,3350.43000000,497.33290000,1422,True,1666856.34425400,234.15960000,784835.86125500,0,3340.7219999999998
